"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 17:46:29 IST 2024","Wed Feb 28 17:46:40 IST 2024","11562","","Tags.spec.js","","","","@Web takeScreenshot",""
"passed","Wed Feb 28 17:46:40 IST 2024","Wed Feb 28 17:46:45 IST 2024","5083","","Tags.spec.js","","","","@Web screenshotcomparison",""
